KPIs,Zip,No_of_Art_Projects, Perc_Unemployment_2010 ,No_Educated_High_School_2010,Per_Capita_Household_Income_2010, Perc_Unemployment_2014 ,No_Educated_High_School_2015,Per_Capita_Household_Income_2015,No_of_Artists_Projects, Perc_Unemployment_2011 , Perc_Unemployment_2012 , Perc_Unemployment_2013 , Perc_Unemployment_2015 , Perc_Unemployment_2016 ,No_Employment_in_Arts_n_Entertainment_2010,No_Employment_in_Arts_n_Entertainment_2011,No_Employment_in_Arts_n_Entertainment_2012,No_Employment_in_Arts_n_Entertainment_2013,No_Employment_in_Arts_n_Entertainment_2014,No_Employment_in_Arts_n_Entertainment_2015,No_Employment_in_Arts_n_Entertainment_2016,No_Educated_High_School_2000,No_Educated_High_School_2011,No_Educated_High_School_2012,No_Educated_High_School_2013,No_Educated_High_School_2014,No_Educated_High_School_2016,No_Unemployed_2010,No_Unemployed_2011,No_Unemployed_2012,No_Unemployed_2013,No_Unemployed_2014,No_Unemployed_2015,No_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014
Zip Codes,90002,2,0.1,6318,10638,0.12,6829,12053,,0.1,0.11,0.11,0.07,0.06,187,188,231,210,243,225,238,4049,6308,6360,6386,6518,6934,1930,1987,2202,2113,2438,1235,1123,49782,50481,51389,50940,51176,51484,51685,360115793,536198411,533614667,604686650,639963621,591357041,611334094,584938732,8161,10571,11767,12870,11799
No_of_Art_Projects,90003,5,0.1,8544,10232,0.16,8863,11123,,0.1,0.13,0.14,0.07,0.06,495,495,490,641,565,546,588,5594,8534,7941,8582,8520,8982,2761,2835,3589,3981,4488,1764,1604,68819,68674,69963,70885,70900,70888,71153,465191702,703136425,697995290,721820950,768028932,758173951,776808160,733886279,7660,10164,10317,11023,10846
No_of_Artists_Projects,90004,0,0.08,9004,21849,0.15,7476,27122,1,0.09,0.11,0.13,0.07,0.06,1286,1295,997,1158,1198,1168,1243,7159,8970,7972,7707,7211,7650,2807,2883,3751,4828,5235,2247,2058,59158,59923,61296,61383,60919,61173,61726,1014796339,1307365392,1323058394,1478546998,1555148952,1582527045,1632025068,1727397570,15565,22079,24121,25945,26336
Perc_Unemployment_2010,90005,1,0.09,6195,18663,0.12,5887,23781,,0.09,0.12,0.13,0.07,0.06,600,600,642,707,591,558,541,4696,6166,5772,6096,5602,5754,2090,2150,3025,3155,2954,1556,1338,40083,38895,40291,41008,41143,41746,39605,575713134,724408977,739117378,848651026,862397904,944316968,982090816,984928433,13074,19003,21063,21248,23165
Perc_Unemployment_2011,90006,5,0.1,8990,12281,0.15,9335,14740,,0.1,0.12,0.15,0.07,0.06,392,393,426,404,344,329,345,6084,8970,8837,8631,8926,9471,3097,3174,4039,4766,5064,2082,1886,58099,58931,59277,58121,59664,60132,60055,595182456,723167759,729455900,825710652,817298387,825961153,848419907,825310725,9568,12378,13930,14575,14697
Perc_Unemployment_2012,90007,0,0.11,4083,10001,0.15,4002,14466,1,0.11,0.14,0.15,0.07,0.06,702,705,688,497,464,441,462,2673,4070,4098,3756,3797,4222,2177,2234,2963,3015,2911,1234,1132,43012,43960,47828,45939,43837,44316,44456,361038734,440077146,440674467,546970173,549548515,538540561,558591167,569060316,7908,10024,11436,13861,14013
Perc_Unemployment_2013,90008,1,0.11,5296,23113,0.16,5020,29781,2,0.11,0.15,0.15,0.07,0.06,215,218,193,172,212,205,225,4109,5258,4480,4995,4794,5126,1731,1766,2242,2366,2481,963,884,31301,31212,30469,31667,32093,32499,32780,655631345,723319770,723540171,772397415,850530190,921123396,962994402,986760326,20824,23181,25350,27009,28820
Perc_Unemployment_2014,90010,0,0.07,324,27887,0.12,357,40293,,0.07,0.11,0.11,0.07,0.06,29,29,30,46,56,53,57,132,322,291,281,357,317,110,113,147,147,184,97,76,2555,2460,2407,2193,2626,2574,2239,33792751,68379550,69988712,114815293,100631974,98998005,103376980,116504490,30389,28451,47701,45996,37828
Perc_Unemployment_2015,90011,6,0.08,12364,9039,0.12,11917,10521,,0.08,0.09,0.11,0.07,0.06,569,577,530,600,479,462,508,6260,12377,11438,11528,11357,12063,3479,3577,4461,5170,5250,2835,2538,103191,104627,109098,107454,104859,105784,104440,768362843,942841442,940730927,1165078235,1166088072,1071670137,1092562305,1046682102,7695,8991,10679,11071,10416
Perc_Unemployment_2016,90012,21,0.1,5226,15759,0.1,5025,20195,4,0.1,0.11,0.11,0.07,0.06,244,246,243,236,331,317,325,3716,5215,4645,4958,4753,5291,1024,1056,1229,1165,1140,735,687,32477,29163,30930,32480,33185,34186,34568,309038597,458097496,468473094,481955268,497479305,551707510,604965542,621166556,10900,16064,15582,18881,19882
